"","custid","region","townsize","gender","age","agecat","birthmonth","ed","edcat","jobcat","union","employ","empcat","retire","income","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","address","addresscat","cars","carown","cartype","carvalue","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenure","card2tenurecat","carditems","cardspent","card2items","card2spent","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","lujo_si"
"1","3964-QJWTRG-NPN","1","2","1",20,"2","Septiembre",15,"3","1","1",0,"1","0",31,"2",11.1,1.200909,2.240091,"1","1","0",-1,"-1",3,0,0,0,0,0,0,0,0,"0","2",0,"1",2,"1","0",14.3,"1","0","0","8","4",22,"0","1","1","0","0","0","0","1","0","0","9","6","1","0","1","3","1","1","0",2,2,"5","3","1","0",3,2,5,81.66,4,67.8,"0","3",5,"1",6.5,34.4,"1",29,161.05,"1",29.5,126.1,"1",14.25,60,"0","0",0,"1","1","1","0","0","1","1","1","0","1",13,"1","1","0","0","0","1","1","0","0","0","1","0","0"
"2","0648-AIPJSP-UVM","5","5","0",22,"2","Mayo",17,"4","2","0",0,"1","0",15,"1",18.6,1.22202,1.56798,"1","1","0",-1,"-1",2,6,0,0,0,0,0,0,6,"1","3",2,"1",2,"1","1",6.8,"1","0","0","1","1",29,"1","0","0","1","0","0","1","0","1","1","9","4","1","0","0","2","4","1","0",4,2,"4","1","3","0",4,2,5,42.6,2,34.94,"1","1",39,"0",8.9,330.6,"0",0,0,"1",54.85,1975,"1",16,610,"1","45.65",1683.55,"1","1","1","4","1","0","1","0","1","1",18,"1","1","1","1","1","1","1","1","1","0","0","0","0"
"3","5195-TLUDJE-HVO","3","4","1",67,"6","Junio",14,"2","2","0",16,"5","0",35,"2",9.9,0.92862,2.53638,"0","4","1",13,"2",3,3,2,1,0,0,0,0,0,"1","1",30,"5",3,"1","1",18.8,"1","0","1","4","3",24,"1","0","1","1","1","0","0","0","0","0","2","5","1","0","0","2","1","4","0",35,5,"4","1","3","0",25,5,9,184.22,7,175.75,"0","3",65,"0",28.4,1858.35,"0",0,0,"0",0,0,"1",23,1410,"0","0",0,"1","0","0","0","0","0","0","0","0","1",21,"1","1","1","0","0","0","0","0","1","0","0","0","0"
"4","4459-VLPQUH-3OL","4","3","0",23,"2","Mayo",16,"3","2","0",0,"1","0",20,"1",5.7,0.0228,1.1172,"1","2","1",18,"4",5,0,0,0,0,0,0,0,0,"1","3",3,"2",3,"1","1",8.7,"1","0","1","1","1",38,"1","0","0","0","0","0","0","0","0","0","9","3","0","0","0","2","1","4","0",5,2,"3","2","4","0",5,2,17,340.99,1,18.42,"1","1",36,"0",6,199.45,"0",0,0,"0",0,0,"1",21,685,"0","0",0,"1","0","0","2","0","0","0","0","1","1",26,"1","1","1","0","1","1","1","0","1","1","0","0","0"
"5","8158-SMTQFB-CNO","2","2","0",26,"3","Julio",16,"3","2","0",1,"1","0",23,"1",1.7,0.214659,0.176341,"0","1","1",13,"2",4,0,0,0,0,0,0,0,0,"0","2",3,"2",1,"0","1",10.6,"1","0","1","6","3",32,"0","0","0","0","0","1","0","1","0","0","9","4","0","0","0","4","2","1","0",8,3,"1","3","2","0",9,3,8,255.1,7,252.73,"1","3",21,"0",3.05,74.1,"1",16.5,387.7,"0",0,0,"1",17.25,360,"1","19.05",410.8,"0","1","0","3","1","1","1","1","0","1",27,"1","1","1","0","1","0","1","0","0","0","1","0","0"
"6","9662-FUSYIM-1IV","4","4","0",64,"5","Agosto",17,"4","3","0",22,"5","0",107,"4",5.6,1.060584,4.931416,"0","2","0",-1,"-1",1,11,1,1,0,0,2,0,7,"1","1",31,"5",0,"-1","-1",-1,"-1","-1","0","8","4",23,"0","0","0","0","1","0","0","1","0","0","9","4","0","0","0","2","4","1","1",18,5,"3","3","2","1",9,3,11,228.27,0,0,"0","3",28,"0",8.1,264.9,"1",26.75,726.6,"1",35.5,970.95,"1",28.25,765,"0","0",0,"0","0","1","0","1","1","1","1","0","1",21,"1","1","1","1","0","0","0","0","0","0","1","0","0"
"7","7432-QKQFJJ-K72","2","5","1",52,"5","Julio",14,"2","1","0",10,"3","0",77,"4",1.9,0.501809,0.961191,"0","2","0",-1,"-1",1,2,0,2,0,0,0,0,0,"0","3",21,"4",2,"1","0",25.6,"2","1","0","4","3",32,"1","0","0","1","0","0","1","1","0","0","9","4","0","0","0","5","3","1","1",3,2,"2","3","4","0",2,2,20,822.32,5,130.14,"0","2",15,"0",3.8,44.8,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","1","0","0","1","0","0","1",19,"1","1","1","0","1","1","0","0","0","0","0","0","0"
"8","8959-RZWRHU-ST8","3","4","1",44,"4","Octubre",16,"3","1","0",11,"4","0",97,"4",14.4,5.950368,8.017632,"0","5","1",15,"3",2,10,0,2,0,0,0,0,8,"1","3",20,"4",1,"1","0",55.5,"3","0","1","5","3",31,"0","0","0","0","1","0","0","0","0","0","2","6","0","0","1","1","1","4","0",25,5,"3","1","4","0",20,5,6,592.7,7,712.1,"0","3",46,"0",14.85,612.7,"1",24,1110.4,"0",0,0,"1",14.5,630,"0","0",0,"1","0","0","0","1","1","1","1","0","1",13,"1","1","1","0","0","0","0","0","1","0","0","0","1"
"9","9124-DZALHM-S6I","2","3","1",66,"6","Octubre",12,"2","1","0",15,"4","1",16,"1",2.6,0.102336,0.313664,"0","2","0",-1,"-1",1,1,1,0,0,0,0,0,0,"1","1",21,"4",1,"1","1",8.6,"1","0","0","4","3",25,"1","1","0","1","1","0","0","0","0","0","9","3","1","1","1","3","4","2","0",26,5,"2","4","3","0",17,5,12,326.59,6,141.24,"1","3",53,"0",21.05,1074.35,"0",0,0,"0",0,0,"1",15.5,830,"0","0",0,"1","0","0","0","0","0","0","0","0","1",25,"1","1","1","0","0","0","0","0","0","1","0","0","0"
"10","3512-MUWBGY-52X","2","2","0",47,"4","Julio",11,"1","6","0",19,"5","0",84,"4",4.1,1.770216,1.673784,"0","4","0",-1,"-1",2,1,1,0,0,0,0,0,0,"1","1",19,"4",4,"1","0",41,"3","1","0","1","1",29,"1","1","0","0","0","0","0","0","0","0","9","3","1","1","1","5","4","1","0",2,2,"2","2","1","0",2,2,11,199.64,5,111.17,"1","3",3,"1",3.65,20.05,"0",0,0,"0",0,0,"0",0,0,"0","0",0,"0","0","0","0","0","0","0","0","0","1",21,"1","1","1","0","0","0","0","0","0","0","0","0","1"
